"Hospital Name","Provider Number","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Heart Failure (HF) 30-Day Readmissions,59,,0.9981,20.5,20.6,12,7/1/2008,6/30/2011
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Pneumonia (PN) 30-Day Readmissions,56,,0.9767,14.6,15.0,7,7/1/2008,6/30/2011
MARSHALL MEDICAL CENTER NORTH,010010,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,13,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MARSHALL MEDICAL CENTER NORTH,010010,AL,Heart Failure (HF) 30-Day Readmissions,173,,0.9664,24.9,25.8,41,7/1/2008,6/30/2011
MARSHALL MEDICAL CENTER NORTH,010010,AL,Pneumonia (PN) 30-Day Readmissions,326,,1.0106,19.2,18.9,63,7/1/2008,6/30/2011
ST. VINCENT'S EAST,010011,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,213,,1.1661,19.7,16.9,48,7/1/2008,6/30/2011
ST. VINCENT'S EAST,010011,AL,Heart Failure (HF) 30-Day Readmissions,417,,0.8641,19.8,22.9,74,7/1/2008,6/30/2011
ST. VINCENT'S EAST,010011,AL,Pneumonia (PN) 30-Day Readmissions,452,,0.9540,17.1,18.0,75,7/1/2008,6/30/2011
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,79,,1.0140,18.3,18.0,15,7/1/2008,6/30/2011
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Heart Failure (HF) 30-Day Readmissions,160,,1.0674,23.2,21.8,41,7/1/2008,6/30/2011
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Pneumonia (PN) 30-Day Readmissions,210,,0.9585,15.8,16.5,31,7/1/2008,6/30/2011
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,199,,1.0432,18.2,17.5,38,7/1/2008,6/30/2011
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Heart Failure (HF) 30-Day Readmissions,323,,1.0164,24.5,24.1,80,7/1/2008,6/30/2011
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Pneumonia (PN) 30-Day Readmissions,332,,0.9199,16.1,17.5,49,7/1/2008,6/30/2011
CALLAHAN EYE FOUNDATION HOSPITAL,010018,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,0,17,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
CALLAHAN EYE FOUNDATION HOSPITAL,010018,AL,Heart Failure (HF) 30-Day Readmissions,0,17,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
CALLAHAN EYE FOUNDATION HOSPITAL,010018,AL,Pneumonia (PN) 30-Day Readmissions,0,17,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
HELEN KELLER HOSPITAL,010019,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,43,,1.0699,21.4,20.0,12,7/1/2008,6/30/2011
HELEN KELLER HOSPITAL,010019,AL,Heart Failure (HF) 30-Day Readmissions,289,,0.8763,20.3,23.2,51,7/1/2008,6/30/2011
HELEN KELLER HOSPITAL,010019,AL,Pneumonia (PN) 30-Day Readmissions,336,,1.0401,18.1,17.4,63,7/1/2008,6/30/2011
DALE MEDICAL CENTER,010021,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,15,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
DALE MEDICAL CENTER,010021,AL,Heart Failure (HF) 30-Day Readmissions,128,,0.9167,22.8,24.9,24,7/1/2008,6/30/2011
DALE MEDICAL CENTER,010021,AL,Pneumonia (PN) 30-Day Readmissions,183,,0.9585,17.6,18.4,30,7/1/2008,6/30/2011
CHEROKEE MEDICAL CENTER,010022,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,5,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
CHEROKEE MEDICAL CENTER,010022,AL,Heart Failure (HF) 30-Day Readmissions,77,,1.0548,24.5,23.2,22,7/1/2008,6/30/2011
CHEROKEE MEDICAL CENTER,010022,AL,Pneumonia (PN) 30-Day Readmissions,112,,0.9325,15.7,16.9,14,7/1/2008,6/30/2011
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,379,,1.1247,20.1,17.9,81,7/1/2008,6/30/2011
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Heart Failure (HF) 30-Day Readmissions,531,,0.9716,23.1,23.8,121,7/1/2008,6/30/2011
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Pneumonia (PN) 30-Day Readmissions,214,,1.1577,21.9,18.9,55,7/1/2008,6/30/2011
JACKSON HOSPITAL & CLINIC INC,010024,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,208,,0.9708,18.4,18.9,37,7/1/2008,6/30/2011
JACKSON HOSPITAL & CLINIC INC,010024,AL,Heart Failure (HF) 30-Day Readmissions,533,,0.9625,22.8,23.6,119,7/1/2008,6/30/2011
JACKSON HOSPITAL & CLINIC INC,010024,AL,Pneumonia (PN) 30-Day Readmissions,358,,1.0852,19.2,17.7,73,7/1/2008,6/30/2011
GEORGE H. LANIER MEMORIAL HOSPITAL,010025,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,56,,1.0321,22.6,21.9,14,7/1/2008,6/30/2011
GEORGE H. LANIER MEMORIAL HOSPITAL,010025,AL,Heart Failure (HF) 30-Day Readmissions,220,,1.0145,23.3,22.9,52,7/1/2008,6/30/2011
GEORGE H. LANIER MEMORIAL HOSPITAL,010025,AL,Pneumonia (PN) 30-Day Readmissions,113,,1.0350,17.9,17.3,22,7/1/2008,6/30/2011
ELBA GENERAL HOSPITAL,010027,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
ELBA GENERAL HOSPITAL,010027,AL,Heart Failure (HF) 30-Day Readmissions,25,,0.9862,19.1,19.4,4,7/1/2008,6/30/2011
ELBA GENERAL HOSPITAL,010027,AL,Pneumonia (PN) 30-Day Readmissions,90,,0.9355,14.9,15.9,10,7/1/2008,6/30/2011
EAST ALABAMA MEDICAL CENTER,010029,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,321,,1.1398,20.5,18.0,71,7/1/2008,6/30/2011
EAST ALABAMA MEDICAL CENTER,010029,AL,Heart Failure (HF) 30-Day Readmissions,781,,1.0172,23.9,23.5,188,7/1/2008,6/30/2011
EAST ALABAMA MEDICAL CENTER,010029,AL,Pneumonia (PN) 30-Day Readmissions,260,,0.8217,13.4,16.4,25,7/1/2008,6/30/2011
WEDOWEE HOSPITAL,010032,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,5,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
WEDOWEE HOSPITAL,010032,AL,Heart Failure (HF) 30-Day Readmissions,76,,1.0387,24.7,23.7,21,7/1/2008,6/30/2011
WEDOWEE HOSPITAL,010032,AL,Pneumonia (PN) 30-Day Readmissions,105,,1.0437,20.6,19.8,24,7/1/2008,6/30/2011
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,262,,1.0347,19.3,18.7,52,7/1/2008,6/30/2011
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Heart Failure (HF) 30-Day Readmissions,513,,1.0353,25.9,25.0,135,7/1/2008,6/30/2011
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Pneumonia (PN) 30-Day Readmissions,343,,1.0969,21.0,19.1,77,7/1/2008,6/30/2011
COMMUNITY HOSPITAL INC,010034,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,15,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
COMMUNITY HOSPITAL INC,010034,AL,Heart Failure (HF) 30-Day Readmissions,115,,1.0075,23.1,22.9,27,7/1/2008,6/30/2011
COMMUNITY HOSPITAL INC,010034,AL,Pneumonia (PN) 30-Day Readmissions,111,,0.9782,17.3,17.6,18,7/1/2008,6/30/2011
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,99,,0.9329,20.1,21.5,17,7/1/2008,6/30/2011
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,Heart Failure (HF) 30-Day Readmissions,441,,1.0075,24.2,24.0,107,7/1/2008,6/30/2011
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,Pneumonia (PN) 30-Day Readmissions,432,,0.9290,16.9,18.2,69,7/1/2008,6/30/2011
ANDALUSIA REGIONAL HOSPITAL,010036,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,11,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
ANDALUSIA REGIONAL HOSPITAL,010036,AL,Heart Failure (HF) 30-Day Readmissions,224,,1.0216,24.0,23.5,55,7/1/2008,6/30/2011
ANDALUSIA REGIONAL HOSPITAL,010036,AL,Pneumonia (PN) 30-Day Readmissions,253,,1.1021,18.2,16.5,51,7/1/2008,6/30/2011
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,65,,1.0399,19.1,18.4,14,7/1/2008,6/30/2011
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,Heart Failure (HF) 30-Day Readmissions,232,,0.9886,24.0,24.3,55,7/1/2008,6/30/2011
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,Pneumonia (PN) 30-Day Readmissions,250,,0.9776,17.7,18.1,43,7/1/2008,6/30/2011
HUNTSVILLE HOSPITAL,010039,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1162,,0.9369,16.1,17.1,184,7/1/2008,6/30/2011
HUNTSVILLE HOSPITAL,010039,AL,Heart Failure (HF) 30-Day Readmissions,1734,,0.9499,23.9,25.2,412,7/1/2008,6/30/2011
HUNTSVILLE HOSPITAL,010039,AL,Pneumonia (PN) 30-Day Readmissions,936,,0.9466,17.9,19.0,165,7/1/2008,6/30/2011
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,219,,1.1279,19.3,17.1,47,7/1/2008,6/30/2011
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,Heart Failure (HF) 30-Day Readmissions,471,,1.0041,24.2,24.1,114,7/1/2008,6/30/2011
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,Pneumonia (PN) 30-Day Readmissions,459,,1.0496,19.0,18.1,90,7/1/2008,6/30/2011
CHILTON MEDICAL CENTER,010043,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,3,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
CHILTON MEDICAL CENTER,010043,AL,Heart Failure (HF) 30-Day Readmissions,47,,0.9652,23.6,24.5,9,7/1/2008,6/30/2011
CHILTON MEDICAL CENTER,010043,AL,Pneumonia (PN) 30-Day Readmissions,78,,1.0077,18.7,18.6,15,7/1/2008,6/30/2011
NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,010044,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,6,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,010044,AL,Heart Failure (HF) 30-Day Readmissions,86,,1.0257,25.0,24.3,23,7/1/2008,6/30/2011
NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,010044,AL,Pneumonia (PN) 30-Day Readmissions,244,,1.0435,16.7,16.0,43,7/1/2008,6/30/2011
FAYETTE MEDICAL CENTER,010045,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,21,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
FAYETTE MEDICAL CENTER,010045,AL,Heart Failure (HF) 30-Day Readmissions,123,,0.9340,22.0,23.5,23,7/1/2008,6/30/2011
FAYETTE MEDICAL CENTER,010045,AL,Pneumonia (PN) 30-Day Readmissions,203,,0.9989,18.3,18.3,37,7/1/2008,6/30/2011
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,145,,1.0400,18.9,18.2,29,7/1/2008,6/30/2011
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,Heart Failure (HF) 30-Day Readmissions,456,,1.0955,27.1,24.7,129,7/1/2008,6/30/2011
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,Pneumonia (PN) 30-Day Readmissions,393,,1.0788,19.8,18.4,82,7/1/2008,6/30/2011
GEORGIANA HOSPITAL,010047,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,31,,1.0558,24.8,23.5,10,7/1/2008,6/30/2011
GEORGIANA HOSPITAL,010047,AL,Heart Failure (HF) 30-Day Readmissions,103,,1.1379,27.3,24.0,36,7/1/2008,6/30/2011
GEORGIANA HOSPITAL,010047,AL,Pneumonia (PN) 30-Day Readmissions,120,,1.0760,19.3,17.9,27,7/1/2008,6/30/2011
MEDICAL CENTER ENTERPRISE,010049,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,20,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MEDICAL CENTER ENTERPRISE,010049,AL,Heart Failure (HF) 30-Day Readmissions,192,,0.9801,22.5,22.9,42,7/1/2008,6/30/2011
MEDICAL CENTER ENTERPRISE,010049,AL,Pneumonia (PN) 30-Day Readmissions,190,,1.0821,17.8,16.5,38,7/1/2008,6/30/2011
ST VINCENTS BLOUNT,010050,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,12,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
ST VINCENTS BLOUNT,010050,AL,Heart Failure (HF) 30-Day Readmissions,76,,1.0841,27.6,25.5,26,7/1/2008,6/30/2011
ST VINCENTS BLOUNT,010050,AL,Pneumonia (PN) 30-Day Readmissions,174,,0.9124,17.2,18.8,25,7/1/2008,6/30/2011
GREENE COUNTY HOSPITAL,010051,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
GREENE COUNTY HOSPITAL,010051,AL,Heart Failure (HF) 30-Day Readmissions,45,,1.1392,23.3,20.4,18,7/1/2008,6/30/2011
GREENE COUNTY HOSPITAL,010051,AL,Pneumonia (PN) 30-Day Readmissions,39,,1.0257,14.7,14.3,7,7/1/2008,6/30/2011
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,13,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,Heart Failure (HF) 30-Day Readmissions,54,,1.0081,25.0,24.8,14,7/1/2008,6/30/2011
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,Pneumonia (PN) 30-Day Readmissions,83,,1.0293,18.6,18.1,17,7/1/2008,6/30/2011
PARKWAY MEDICAL CENTER,010054,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,9,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
PARKWAY MEDICAL CENTER,010054,AL,Heart Failure (HF) 30-Day Readmissions,291,,1.0172,24.7,24.3,73,7/1/2008,6/30/2011
PARKWAY MEDICAL CENTER,010054,AL,Pneumonia (PN) 30-Day Readmissions,257,,1.0829,20.5,18.9,57,7/1/2008,6/30/2011
FLOWERS HOSPITAL,010055,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,333,,0.9895,16.6,16.8,55,7/1/2008,6/30/2011
FLOWERS HOSPITAL,010055,AL,Heart Failure (HF) 30-Day Readmissions,629,,0.9390,21.6,23.0,132,7/1/2008,6/30/2011
FLOWERS HOSPITAL,010055,AL,Pneumonia (PN) 30-Day Readmissions,435,,1.0136,17.1,16.8,75,7/1/2008,6/30/2011
ST. VINCENT'S BIRMINGHAM,010056,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,250,,0.9877,17.8,18.0,44,7/1/2008,6/30/2011
ST. VINCENT'S BIRMINGHAM,010056,AL,Heart Failure (HF) 30-Day Readmissions,586,,1.0846,25.1,23.2,152,7/1/2008,6/30/2011
ST. VINCENT'S BIRMINGHAM,010056,AL,Pneumonia (PN) 30-Day Readmissions,499,,1.0497,17.9,17.1,92,7/1/2008,6/30/2011
BIBB MEDICAL CENTER,010058,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
BIBB MEDICAL CENTER,010058,AL,Heart Failure (HF) 30-Day Readmissions,33,,0.9685,24.0,24.8,6,7/1/2008,6/30/2011
BIBB MEDICAL CENTER,010058,AL,Pneumonia (PN) 30-Day Readmissions,51,,0.9831,17.4,17.7,8,7/1/2008,6/30/2011
LAWRENCE MEDICAL CENTER,010059,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,34,,1.0366,27.6,26.6,11,7/1/2008,6/30/2011
LAWRENCE MEDICAL CENTER,010059,AL,Heart Failure (HF) 30-Day Readmissions,105,,1.1409,27.6,24.2,37,7/1/2008,6/30/2011
LAWRENCE MEDICAL CENTER,010059,AL,Pneumonia (PN) 30-Day Readmissions,179,,1.1417,23.2,20.4,49,7/1/2008,6/30/2011
HIGHLANDS MEDICAL CENTER,010061,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,20,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
HIGHLANDS MEDICAL CENTER,010061,AL,Heart Failure (HF) 30-Day Readmissions,165,,1.0877,25.4,23.4,47,7/1/2008,6/30/2011
HIGHLANDS MEDICAL CENTER,010061,AL,Pneumonia (PN) 30-Day Readmissions,489,,1.0429,18.4,17.6,92,7/1/2008,6/30/2011
WIREGRASS MEDICAL CENTER,010062,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,13,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
WIREGRASS MEDICAL CENTER,010062,AL,Heart Failure (HF) 30-Day Readmissions,113,,0.9135,21.5,23.5,19,7/1/2008,6/30/2011
WIREGRASS MEDICAL CENTER,010062,AL,Pneumonia (PN) 30-Day Readmissions,236,,0.9935,17.5,17.6,41,7/1/2008,6/30/2011
RUSSELL MEDICAL CENTER,010065,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,74,,1.0480,20.4,19.4,17,7/1/2008,6/30/2011
RUSSELL MEDICAL CENTER,010065,AL,Heart Failure (HF) 30-Day Readmissions,208,,0.9300,22.7,24.5,43,7/1/2008,6/30/2011
RUSSELL MEDICAL CENTER,010065,AL,Pneumonia (PN) 30-Day Readmissions,207,,0.9220,17.5,19.0,32,7/1/2008,6/30/2011
FLORALA MEMORIAL HOSPITAL,010066,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
FLORALA MEMORIAL HOSPITAL,010066,AL,Heart Failure (HF) 30-Day Readmissions,91,,1.0619,23.6,22.2,25,7/1/2008,6/30/2011
FLORALA MEMORIAL HOSPITAL,010066,AL,Pneumonia (PN) 30-Day Readmissions,114,,0.9617,14.9,15.5,15,7/1/2008,6/30/2011
MEDICAL CENTER BARBOUR,010069,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,3,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MEDICAL CENTER BARBOUR,010069,AL,Heart Failure (HF) 30-Day Readmissions,121,,0.9011,21.6,23.9,20,7/1/2008,6/30/2011
MEDICAL CENTER BARBOUR,010069,AL,Pneumonia (PN) 30-Day Readmissions,125,,0.9937,15.5,15.6,19,7/1/2008,6/30/2011
CLAY COUNTY HOSPITAL,010073,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,23,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
CLAY COUNTY HOSPITAL,010073,AL,Heart Failure (HF) 30-Day Readmissions,103,,1.0441,23.8,22.7,27,7/1/2008,6/30/2011
CLAY COUNTY HOSPITAL,010073,AL,Pneumonia (PN) 30-Day Readmissions,125,,0.9734,16.3,16.8,19,7/1/2008,6/30/2011
NORTHEAST ALABAMA REGIONAL MED CENTER,010078,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,465,,0.9964,21.3,21.4,99,7/1/2008,6/30/2011
NORTHEAST ALABAMA REGIONAL MED CENTER,010078,AL,Heart Failure (HF) 30-Day Readmissions,712,,1.0119,26.4,26.1,189,7/1/2008,6/30/2011
NORTHEAST ALABAMA REGIONAL MED CENTER,010078,AL,Pneumonia (PN) 30-Day Readmissions,368,,1.0645,20.3,19.0,78,7/1/2008,6/30/2011
ATHENS-LIMESTONE HOSPITAL,010079,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,22,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
ATHENS-LIMESTONE HOSPITAL,010079,AL,Heart Failure (HF) 30-Day Readmissions,210,,1.0111,25.4,25.1,54,7/1/2008,6/30/2011
ATHENS-LIMESTONE HOSPITAL,010079,AL,Pneumonia (PN) 30-Day Readmissions,203,,0.9894,19.0,19.2,38,7/1/2008,6/30/2011
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,41,,0.9392,18.4,19.6,5,7/1/2008,6/30/2011
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,Heart Failure (HF) 30-Day Readmissions,344,,1.0490,25.6,24.4,91,7/1/2008,6/30/2011
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,Pneumonia (PN) 30-Day Readmissions,218,,0.8276,14.6,17.7,22,7/1/2008,6/30/2011
DECATUR GENERAL HOSPITAL,010085,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,52,,0.9377,18.5,19.7,7,7/1/2008,6/30/2011
DECATUR GENERAL HOSPITAL,010085,AL,Heart Failure (HF) 30-Day Readmissions,450,,0.8504,21.5,25.2,87,7/1/2008,6/30/2011
DECATUR GENERAL HOSPITAL,010085,AL,Pneumonia (PN) 30-Day Readmissions,374,,1.0870,20.2,18.6,80,7/1/2008,6/30/2011
NORTHWEST MEDICAL CENTER,010086,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,13,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
NORTHWEST MEDICAL CENTER,010086,AL,Heart Failure (HF) 30-Day Readmissions,102,,1.1100,25.3,22.8,32,7/1/2008,6/30/2011
NORTHWEST MEDICAL CENTER,010086,AL,Pneumonia (PN) 30-Day Readmissions,229,,1.0298,17.7,17.2,42,7/1/2008,6/30/2011
UNIV OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,12,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
UNIV OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,Heart Failure (HF) 30-Day Readmissions,37,,0.9845,24.2,24.5,8,7/1/2008,6/30/2011
UNIV OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,Pneumonia (PN) 30-Day Readmissions,14,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
WALKER BAPTIST MEDICAL CENTER,010089,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,68,,0.9525,19.1,20.1,11,7/1/2008,6/30/2011
WALKER BAPTIST MEDICAL CENTER,010089,AL,Heart Failure (HF) 30-Day Readmissions,249,,0.9259,22.7,24.5,52,7/1/2008,6/30/2011
WALKER BAPTIST MEDICAL CENTER,010089,AL,Pneumonia (PN) 30-Day Readmissions,285,,0.9068,17.3,19.0,44,7/1/2008,6/30/2011
PROVIDENCE HOSPITAL,010090,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,200,,1.0036,16.9,16.9,34,7/1/2008,6/30/2011
PROVIDENCE HOSPITAL,010090,AL,Heart Failure (HF) 30-Day Readmissions,568,,0.8920,21.1,23.6,113,7/1/2008,6/30/2011
PROVIDENCE HOSPITAL,010090,AL,Pneumonia (PN) 30-Day Readmissions,465,,0.9214,16.2,17.6,71,7/1/2008,6/30/2011
GROVE HILL MEMORIAL HOSPITAL,010091,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
GROVE HILL MEMORIAL HOSPITAL,010091,AL,Heart Failure (HF) 30-Day Readmissions,49,,0.9784,20.9,21.4,9,7/1/2008,6/30/2011
GROVE HILL MEMORIAL HOSPITAL,010091,AL,Pneumonia (PN) 30-Day Readmissions,23,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
D C H REGIONAL MEDICAL CENTER,010092,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,347,,1.0446,18.8,18.0,67,7/1/2008,6/30/2011
D C H REGIONAL MEDICAL CENTER,010092,AL,Heart Failure (HF) 30-Day Readmissions,1087,,1.0244,24.7,24.1,270,7/1/2008,6/30/2011
D C H REGIONAL MEDICAL CENTER,010092,AL,Pneumonia (PN) 30-Day Readmissions,726,,1.0542,20.1,19.1,149,7/1/2008,6/30/2011
